mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
0S16,2456.9,0.15,2458.22,3.25,0.1,3.586,307.6923077,9.467455621,278.8622421,2.51E-05,7.72E-07,2.77E-05,"32c ,RR"
2T5,2484.9,2,2485.09,3.98,0.4,4.693,251.2562814,25.25188758,213.0833156,3.11E-05,3.12E-06,3.66E-05,ss
2S0,2509,0.35,2510.48,0.83,0.05,0.805,1204.819277,72.57947452,1242.236025,6.54E-06,3.94E-07,6.35E-06,"21,A"
7S2,2519,1.5,2517.29,3.55,0.5,2.929,281.6901408,39.67466772,341.4134517,2.81E-05,3.96E-06,2.32E-05,ss
3S6,2548.9,0.35,2549.64,3.25,0.35,3.629,307.6923077,33.13609467,275.558005,2.60E-05,2.80E-06,2.91E-05,RR
0T18,2553.35,0.4,2552.22,6.91,0.5,6.89,144.7178003,10.47162086,145.137881,5.54E-05,4.01E-06,5.52E-05,"32c ,RR"
0S17,2565.8,0.3,2567.12,3.28,0.11,3.719,304.8780488,10.22456871,268.8894864,2.64E-05,8.87E-07,3.00E-05,"32c ,RR"
2S11,2572.3,0.35,2572.16,,,5.676,,,176.1804087,,,4.59E-05,40/RR
2T6,2609.65,2,2610.08,4.16,0.5,4.591,240.3846154,28.89238166,217.817469,3.41E-05,4.10E-06,3.76E-05,ss
1T10,2620.2,0.8,2620.02,3.93,0.35,4.479,254.4529262,22.66120208,223.2641215,3.24E-05,2.88E-06,3.69E-05,ss
0T19,2665.76,0.2,2664.71,7.04,0.55,6.974,142.0454545,11.09730114,143.3897333,5.90E-05,4.61E-06,5.84E-05,RR
0S18,2672.5,0.3,2673.3,3.38,0.1,3.86,295.8579882,8.753194916,259.0673575,2.84E-05,8.40E-07,3.24E-05,RR
3S7,2687.2,1.2,2686.33,3.52,0.3,3.713,284.0909091,24.21229339,269.3239968,2.97E-05,2.53E-06,3.13E-05,ss
5S5,2703.5,0.2,2703.36,1.83,0.1,1.99,546.4480874,29.86055123,502.5125628,1.55E-05,8.49E-07,1.69E-05,"27,ss"
2S12,2737.5,0.6,2737.31,4.58,0.5,5.769,218.3406114,23.83631128,173.3402669,3.94E-05,4.30E-06,4.96E-05,32
2T7,2751.5,2.5,2753.73,3.77,0.5,4.476,265.2519894,35.17930894,223.4137623,3.26E-05,4.32E-06,3.87E-05,ss
0S19,2776.1,0.4,2776.98,3.53,0.1,4.006,283.286119,8.025102521,249.6255617,3.08E-05,8.72E-07,3.49E-05,RR
0T20,2777.59,0.4,2776.67,7.19,0.6,7.05,139.0820584,11.60629138,141.8439716,6.27E-05,5.24E-06,6.15E-05,RR
1T11,2783,1,2783.31,,,4.546,,,219.9736032,,,3.98E-05,WT
3S8,2820.5,0.6,2819.64,3.65,0.25,3.794,273.9726027,18.76524676,263.5740643,3.23E-05,2.22E-06,3.36E-05,27
6S3,2821.85,0.15,2821.72,2.2,0.2,2.345,454.5454545,41.32231405,426.4392324,1.95E-05,1.77E-06,2.08E-05,27
8S1,2872.65,0.2,2873.36,0.95,0.1,1.075,1052.631579,110.8033241,930.2325581,8.57E-06,9.02E-07,9.70E-06,"26,ss"
0S20,2877.95,0.4,2878.37,3.57,0.1,4.154,280.1120448,7.846275765,240.7318247,3.23E-05,9.04E-07,3.76E-05,"33c ,RR"
